dataset,source,params_id,f1,precision,recall,support,predicted,files,candidate_count,best_f1,f1_tolerance,baseline_recall,recall_improved_vs_baseline,selected_for_final
JMeter,baseline,baseline,0.4204784224987878,0.6500499750124937,0.3107381748686096,,,,195,0.566499126653121,0.005,0.3107381748686096,,False
JMeter,max_f1,S2P60_SW30_Q0.015,0.566499126653121,0.7026262268989301,0.47455805064500717,16744,11309,7,195,0.566499126653121,0.005,0.3107381748686096,True,True
JMeter,near_f1_max_recall,S2P60_SW30_Q0.015,0.566499126653121,0.7026262268989301,0.47455805064500717,16744,11309,7,195,0.566499126653121,0.005,0.3107381748686096,True,True
JMeter,max_recall,S2P60_SW30_Q0.015,0.566499126653121,0.7026262268989301,0.47455805064500717,16744,11309,7,195,0.566499126653121,0.005,0.3107381748686096,True,True
Prometheus 27 指标,baseline,baseline,0.5323890856071651,0.944800394282898,0.3706138231029482,,,,195,0.5699650174912545,0.005,0.3706138231029482,,False
Prometheus 27 指标,max_f1,S2P120_SW8_Q0.0045,0.5699650174912545,0.8055800812290306,0.4409859835669406,10345,5663,27,195,0.5699650174912545,0.005,0.3706138231029482,True,True
Prometheus 27 指标,near_f1_max_recall,S2P120_SW8_Q0.0045,0.5699650174912545,0.8055800812290306,0.4409859835669406,10345,5663,27,195,0.5699650174912545,0.005,0.3706138231029482,True,True
Prometheus 27 指标,max_recall,S2P60_SW10_Q0.015,0.47055530284474617,0.36876165405286826,0.6499758337361043,10345,18234,27,195,0.5699650174912545,0.005,0.3706138231029482,True,False
