params_id,dataset,algorithm,f1,precision,recall,support,predicted,files,estimator,smoothing,period,s_w,p_w,half_d_w,q,delay,errors
S1PNA_SW5_Q0.0025,Prometheus 27 指标,FluxEV,0.5083474816072439,0.9477710366657874,0.3473175447075882,10345,3791,27,MOM,1,,5,5,2,0.0025,7,0
S1PNA_SW5_Q0.003,JMeter,FluxEV,0.20727991875567908,0.9867684478371501,0.11580267558528429,16744,1965,7,MOM,1,,5,5,2,0.003,7,0
S1PNA_SW5_Q0.003,Prometheus 27 指标,FluxEV,0.5323890856071651,0.944800394282898,0.37061382310294827,10345,4058,27,MOM,1,,5,5,2,0.003,7,0
S1PNA_SW5_Q0.0035,JMeter,FluxEV,0.20723561160690432,0.9847638395124428,0.11580267558528429,16744,1969,7,MOM,1,,5,5,2,0.0035,7,0
S1PNA_SW5_Q0.0035,Prometheus 27 指标,FluxEV,0.5020295927720309,0.7778454047474133,0.37061382310294827,10345,4929,27,MOM,1,,5,5,2,0.0035,7,0
S1PNA_SW5_Q0.004,JMeter,FluxEV,0.20716918638816176,0.9817721518987341,0.11580267558528429,16744,1975,7,MOM,1,,5,5,2,0.004,7,0
S1PNA_SW5_Q0.004,Prometheus 27 指标,FluxEV,0.5012092293613961,0.7739200645942672,0.37061382310294827,10345,4954,27,MOM,1,,5,5,2,0.004,7,0
S1PNA_SW5_Q0.0045,JMeter,FluxEV,0.22917436032709046,0.9823609226594301,0.12971810797897754,16744,2211,7,MOM,1,,5,5,2,0.0045,7,0
S1PNA_SW5_Q0.0045,Prometheus 27 指标,FluxEV,0.45485822754775174,0.5886688162137264,0.37061382310294827,10345,6513,27,MOM,1,,5,5,2,0.0045,7,0
S1PNA_SW5_Q0.005,JMeter,FluxEV,0.251223830850953,0.9812855980471928,0.1440516005733397,16744,2458,7,MOM,1,,5,5,2,0.005,7,0
S1PNA_SW5_Q0.005,Prometheus 27 指标,FluxEV,0.45396956959327456,0.5857011915673694,0.37061382310294827,10345,6546,27,MOM,1,,5,5,2,0.005,7,0
S1PNA_SW6_Q0.002,JMeter,FluxEV,0.11259993244004053,0.9823182711198428,0.05972288580984233,16744,1018,7,MOM,1,,6,5,2,0.002,7,0
S1PNA_SW6_Q0.002,Prometheus 27 指标,FluxEV,0.5093563935355826,0.9548232792984321,0.3473175447075882,10345,3763,27,MOM,1,,6,5,2,0.002,7,0
