dataset,best_params_id,selection_strategy,dataset_label,selected_f1,selected_precision,selected_recall,max_f1,near_f1_max_recall,max_recall,baseline_recall,recall_improved_vs_baseline
jmeter,S2P60_SW30_Q0.015,near_f1_max_recall,JMeter,0.566499126653121,0.7026262268989301,0.47455805064500717,0.566499126653121,0.47455805064500717,0.47455805064500717,0.3107381748686096,True
prometheus,S2P120_SW8_Q0.0045,near_f1_max_recall,Prometheus 27 指标,0.5699650174912545,0.8055800812290306,0.4409859835669406,0.5699650174912545,0.4409859835669406,0.6499758337361043,0.3706138231029482,True
