timestamp,value
1780032136,9293824
1780032141,9289728
1780032146,9289728
1780032151,9318400
1780032156,9318400
1780032161,9318400
1780032166,9318400
1780032171,9318400
1780032176,9318400
1780032181,9318400
1780032186,9318400
1780032191,9318400
1780032196,9322496
1780032201,9322496
1780032206,9322496
1780032211,9322496
1780032216,9318400
1780032221,9318400
1780032226,9318400
1780032231,9318400
1780032236,9318400
1780032241,9318400
1780032246,9318400
1780032251,9318400
1780032256,9318400
1780032261,9318400
1780032266,9318400
1780032271,9318400
1780032276,9326592
1780032281,9326592
1780032286,9326592
1780032291,9326592
1780032296,9326592
1780032301,9326592
1780032306,9326592
1780032311,9551872
1780032316,9551872
1780032321,9617408
1780032326,9617408
1780032331,9617408
1780032336,9650176
1780032341,9650176
1780032346,9650176
1780032351,9650176
1780032356,9650176
1780032361,9650176
1780032366,9650176
1780032371,9662464
1780032376,9662464
1780032381,9662464
1780032386,9809920
1780032391,9809920
1780032396,9809920
1780032401,9809920
1780032406,9809920
1780032411,9809920
1780032416,9809920
1780032421,9809920
1780032426,9809920
1780032431,9814016
1780032436,9814016
1780032441,9814016
1780032446,9814016
1780032451,9814016
1780032456,9814016
1780032461,9814016
1780032466,9814016
1780032471,9814016
1780032476,9814016
1780032481,9814016
1780032486,9814016
1780032491,9814016
1780032496,9814016
1780032501,9814016
1780032506,9814016
1780032511,9814016
1780032516,9814016
1780032521,9818112
1780032526,9818112
1780032531,9818112
1780032536,9818112
1780032541,9822208
1780032546,9822208
1780032551,9830400
1780032556,9830400
1780032561,9830400
1780032566,9830400
1780032571,9826304
1780032576,9826304
1780032581,9830400
1780032586,9830400
1780032591,9830400
1780032596,9826304
1780032601,9826304
1780032606,9826304
1780032611,9830400
1780032616,9830400
1780032621,9830400
1780032626,9826304
1780032631,9826304
1780032636,9834496
1780032641,9834496
1780032646,9551872
1780032651,9551872
1780032656,9592832
1780032661,9592832
1780032666,9592832
1780032671,9592832
1780032676,9592832
1780032681,9592832
1780032686,9605120
1780032691,9605120
1780032696,9605120
1780032701,9605120
1780032706,9621504
1780032711,9621504
1780032716,9621504
1780032721,9621504
1780032726,9768960
1780032731,9768960
1780032736,9768960
1780032741,9547776
1780032746,9547776
1780032751,9547776
1780032756,9687040
1780032761,9687040
1780032766,9687040
1780032771,9703424
1780032776,9703424
1780032781,9703424
1780032786,9703424
1780032791,9707520
1780032796,9707520
1780032801,9707520
1780032806,9707520
1780032811,9723904
1780032816,9723904
1780032821,9723904
1780032826,9723904
1780032831,9723904
1780032836,9723904
1780032841,9723904
1780032846,9723904
1780032851,9723904
1780032856,9723904
1780032861,9723904
1780032866,9793536
1780032871,9793536
1780032876,9793536
1780032881,9793536
1780032886,9793536
1780032891,9793536
1780032896,9789440
1780032901,9789440
1780032906,9789440
1780032911,9789440
1780032916,9789440
1780032921,9793536
1780032926,9793536
1780032931,9633792
1780032936,9633792
1780032941,9633792
1780032946,9629696
1780032951,9629696
1780032956,9637888
1780032961,9637888
1780032966,9637888
1780032971,9732096
1780032976,9732096
1780032981,9728000
1780032986,9728000
1780032991,9728000
1780032996,9744384
1780033001,9744384
1780033006,9744384
1780033011,9744384
1780033016,9744384
1780033021,9748480
1780033026,9748480
1780033031,9748480
1780033036,9748480
1780033036,9748480
1780033041,9748480
1780033046,9748480
1780033051,9748480
1780033056,9748480
1780033061,9748480
1780033066,9748480
1780033071,9748480
1780033076,9744384
1780033081,9744384
1780033086,9748480
1780033091,9748480
1780033096,9748480
1780033101,9748480
1780033106,9748480
1780033111,9748480
1780033116,9748480
1780033121,9748480
1780033126,9748480
1780033131,9748480
1780033136,9752576
1780033141,9752576
1780033146,9773056
1780033151,9773056
1780033156,9773056
1780033161,9752576
1780033166,9752576
1780033171,9752576
1780033176,9752576
1780033181,9756672
1780033186,9756672
1780033191,9756672
1780033196,9756672
1780033201,9756672
1780033206,9756672
1780033211,9756672
1780033216,9756672
1780033221,9756672
1780033226,9756672
1780033231,9756672
1780033236,9756672
1780033241,9756672
1780033246,9756672
1780033251,9756672
1780033256,9498624
1780033261,9498624
1780033266,9498624
1780033271,9498624
1780033276,9498624
1780033281,9498624
1780033286,9498624
1780033291,9498624
1780033296,9498624
1780033301,9498624
1780033306,9564160
1780033311,9564160
1780033316,9564160
1780033321,9564160
1780033326,9564160
1780033331,9564160
1780033336,9564160
1780033341,9564160
1780033346,9564160
1780033351,9564160
1780033356,9564160
1780033361,9613312
1780033366,9613312
1780033371,9617408
1780033376,9617408
1780033381,9617408
1780033386,9617408
1780033391,9617408
1780033396,9617408
1780033401,9617408
1780033406,9617408
1780033411,9621504
1780033416,9621504
1780033421,9621504
1780033426,9617408
1780033431,9617408
1780033436,9621504
1780033441,9621504
1780033446,9621504
