timestamp,value
1780037241,0
1780037246,0
1780037251,0
1780037256,9412608
1780037261,9412608
1780037266,10563584
1780037271,10563584
1780037276,10563584
1780037281,11161600
1780037286,11161600
1780037291,11161600
1780037296,11763712
1780037301,11763712
1780037306,11763712
1780037311,11763712
1780037316,11960320
1780037321,11960320
1780037326,11882496
1780037331,11882496
1780037336,11882496
1780037341,12255232
1780037346,12255232
1780037351,12140544
1780037356,12140544
1780037361,12140544
1780037366,12861440
1780037371,12861440
1780037376,12861440
1780037381,13434880
1780037386,13434880
1780037391,13434880
1780037396,12595200
1780037401,12595200
1780037406,12595200
1780037411,13099008
1780037416,13099008
1780037421,13099008
1780037426,12869632
1780037431,12869632
1780037436,12869632
1780037441,12869632
1780037446,13070336
1780037451,13070336
1780037456,13070336
1780037461,12840960
1780037466,12840960
1780037471,12840960
1780037476,12943360
1780037481,12943360
1780037486,12943360
1780037491,13832192
1780037496,13832192
1780037501,13832192
1780037506,13832192
1780037511,13672448
1780037516,13672448
1780037521,13672448
1780037526,13131776
1780037531,13131776
1780037536,13131776
1780037536,13131776
1780037541,13393920
1780037546,13393920
1780037551,13393920
1780037556,13393920
1780037561,13496320
1780037566,13496320
1780037571,13496320
1780037576,13467648
1780037581,13467648
1780037586,13467648
1780037591,13467648
1780037596,13688832
1780037601,13688832
1780037606,13688832
1780037611,13193216
1780037616,13193216
1780037621,13193216
1780037626,13885440
1780037631,13885440
1780037636,13955072
1780037641,13955072
1780037646,13955072
1780037651,13955072
1780037656,13475840
1780037661,13475840
1780037666,13475840
1780037671,13475840
1780037676,13651968
1780037681,13651968
1780037686,13590528
1780037691,13590528
1780037696,13590528
1780037701,13836288
1780037706,13836288
1780037711,14004224
1780037716,14004224
1780037721,13438976
1780037726,13438976
1780037731,13438976
1780037736,13438976
1780037741,14139392
1780037746,14139392
1780037751,14139392
1780037756,13647872
1780037761,13647872
1780037766,13647872
1780037771,13586432
1780037776,13586432
1780037781,13586432
1780037786,13586432
1780037791,14114816
1780037796,14114816
1780037801,13791232
1780037806,13791232
1780037811,14610432
1780037816,14610432
1780037821,14610432
1780037826,13901824
1780037831,13901824
1780037836,13901824
1780037841,13901824
1780037846,14139392
1780037851,14139392
1780037856,14139392
1780037861,13598720
1780037866,13598720
1780037871,13598720
1780037876,13922304
1780037881,13922304
1780037886,13922304
1780037891,14163968
1780037896,14163968
1780037901,14163968
1780037906,14163968
1780037911,14983168
1780037916,14983168
1780037921,14499840
1780037926,14499840
1780037931,14266368
1780037936,14266368
1780037941,14266368
1780037946,14553088
1780037951,14553088
1780037956,14553088
1780037961,14553088
1780037966,14827520
1780037971,14827520
1780037976,13881344
1780037981,13881344
1780037986,13881344
1780037991,13885440
1780037996,13885440
1780038001,13885440
1780038006,13885440
1780038011,13963264
1780038016,13963264
1780038021,14376960
1780038026,14376960
1780038031,14376960
1780038036,14376960
1780038041,14483456
1780038046,14483456
1780038051,13611008
1780038056,13611008
1780038061,13611008
1780038066,13611008
1780038071,13799424
1780038076,13799424
1780038081,13799424
1780038086,14098432
1780038091,14098432
1780038096,14229504
1780038101,14229504
1780038106,14229504
1780038111,14229504
1780038116,13971456
1780038121,13971456
1780038126,13971456
1780038131,14401536
1780038136,14401536
1780038141,14401536
1780038146,14270464
1780038151,14270464
1780038156,14270464
1780038161,14602240
1780038166,14602240
1780038171,14315520
1780038176,14315520
1780038181,14315520
1780038186,14315520
1780038191,14139392
1780038196,14139392
1780038201,14139392
1780038206,14450688
1780038211,14450688
1780038216,14450688
1780038221,14450688
1780038226,14712832
1780038231,14712832
1780038236,14712832
1780038241,13922304
1780038246,13922304
1780038251,14589952
1780038256,14589952
1780038261,14589952
1780038266,14372864
1780038271,14372864
1780038276,14094336
1780038281,14094336
1780038286,14094336
1780038291,14094336
1780038296,14131200
1780038301,14131200
1780038306,14131200
1780038311,15503360
1780038316,15503360
1780038321,15503360
1780038326,15503360
1780038331,14340096
1780038336,14340096
1780038341,14319616
1780038346,14319616
1780038351,14319616
1780038356,14360576
1780038361,14360576
1780038366,14360576
1780038371,15392768
1780038376,15392768
1780038381,14401536
1780038386,14401536
1780038391,14401536
1780038396,14401536
1780038401,14221312
1780038406,14221312
1780038411,14221312
1780038416,14221312
1780038421,14249984
1780038426,14249984
1780038431,14249984
1780038436,15142912
1780038436,15142912
1780038441,15142912
1780038446,15142912
1780038451,14512128
1780038456,14512128
1780038461,14512128
1780038466,14766080
1780038471,14766080
1780038476,14368768
1780038481,14368768
1780038486,14368768
1780038491,14479360
1780038496,14479360
1780038501,14479360
1780038506,15507456
1780038511,15507456
1780038516,15507456
1780038521,14241792
1780038526,14241792
1780038531,14241792
1780038536,14376960
1780038541,14376960
1780038546,14376960
1780038551,14635008
1780038556,14635008
1780038561,14635008
1780038566,14716928
1780038571,14716928
1780038576,15192064
1780038581,15192064
1780038586,15192064
1780038591,15192064
1780038596,14503936
1780038601,14503936
1780038606,14503936
1780038611,14135296
1780038616,14135296
1780038621,14299136
1780038626,14299136
1780038631,14299136
1780038636,14397440
1780038641,14397440
1780038646,14397440
1780038651,14974976
1780038656,14974976
1780038661,14974976
1780038666,14594048
1780038671,14594048
1780038676,14594048
1780038681,14594048
1780038686,14344192
1780038691,14344192
1780038696,15298560
1780038701,15298560
1780038706,15298560
1780038711,14213120
1780038716,14213120
1780038721,14602240
1780038726,14602240
1780038731,15151104
1780038736,15151104
1780038741,14614528
1780038746,14614528
1780038751,14614528
1780038756,14614528
1780038761,15134720
1780038766,15134720
1780038771,15134720
1780038776,14229504
