timestamp,value
1780032135,6
1780032140,14
1780032145,16
1780032150,19
1780032155,30
1780032160,30
1780032165,30
1780032170,28
1780032175,28
1780032180,32
1780032185,27
1780032190,30
1780032195,29
1780032200,29
1780032205,30
1780032210,30
1780032215,30
1780032220,26
1780032225,30
1780032230,30
1780032235,30
1780032240,29
1780032245,29
1780032250,26
1780032255,30
1780032260,30
1780032265,30
1780032270,30
1780032275,28
1780032280,30
1780032285,30
1780032290,30
1780032295,26
1780032300,30
1780032305,28
1780032310,30
1780032315,30
1780032320,30
1780032325,30
1780032330,26
1780032335,30
1780032340,30
1780032345,30
1780032350,30
1780032355,28
1780032360,30
1780032365,26
1780032370,30
1780032375,30
1780032380,30
1780032385,28
1780032390,30
1780032395,30
1780032400,30
1780032405,26
1780032410,30
1780032415,30
1780032420,30
1780032425,28
1780032430,30
1780032435,30
1780032440,26
1780032445,30
1780032450,30
1780032455,30
1780032460,30
1780032465,28
1780032470,30
1780032475,30
1780032480,30
1780032485,26
1780032490,30
1780032495,28
1780032500,30
1780032505,30
1780032510,30
1780032515,30
1780032520,26
1780032525,30
1780032530,30
1780032535,30
1780032540,30
1780032545,28
1780032550,30
1780032555,26
1780032560,30
1780032565,30
1780032570,30
1780032575,28
1780032580,30
1780032585,30
1780032590,30
1780032595,30
1780032600,26
1780032605,30
1780032610,28
1780032615,30
1780032620,30
1780032625,30
1780032630,30
1780032635,26
1780032640,30
1780032645,30
1780032650,30
1780032655,30
1780032660,28
1780032665,26
1780032670,30
1780032675,30
1780032680,30
1780032685,30
1780032690,28
1780032695,30
1780032700,30
1780032705,30
1780032710,30
1780032715,26
1780032720,30
1780032725,28
1780032730,30
1780032735,30
1780032740,30
1780032745,29
1780032750,27
1780032755,30
1780032760,30
1780032765,30
1780032770,28
1780032775,30
1780032780,30
1780032785,26
1780032790,30
1780032795,30
1780032800,28
1780032805,30
1780032810,30
1780032815,30
1780032820,30
1780032825,26
1780032830,30
1780032835,30
1780032840,30
1780032845,28
1780032850,30
1780032855,26
1780032860,30
1780032865,30
1780032870,30
1780032875,28
1780032880,30
1780032885,26
1780032890,30
1780032895,30
1780032900,30
1780032905,28
1780032910,30
1780032915,26
1780032920,30
1780032925,30
1780032930,30
1780032935,30
1780032940,28
1780032945,30
1780032950,30
1780032955,30
1780032960,30
1780032965,26
1780032970,30
1780032975,28
1780032980,30
1780032985,30
1780032990,30
1780032995,30
1780033000,26
1780033005,30
1780033010,30
1780033015,30
1780033020,30
1780033025,28
1780033030,30
1780033035,26
1780033040,30
1780033045,30
1780033050,30
1780033055,30
1780033060,28
1780033065,30
1780033070,30
1780033075,30
1780033080,27
1780033085,29
1780033090,28
1780033095,30
1780033100,30
1780033105,30
1780033110,30
1780033115,26
1780033120,30
1780033125,30
1780033130,30
1780033135,30
1780033140,28
1780033145,30
1780033150,26
1780033155,30
1780033160,30
1780033165,30
1780033170,30
1780033175,28
1780033180,30
1780033185,30
1780033190,30
1780033195,26
1780033200,30
1780033205,28
1780033210,30
1780033215,30
1780033220,30
1780033225,30
1780033230,26
1780033235,30
1780033240,30
1780033245,30
1780033250,30
1780033255,28
1780033260,30
1780033265,26
1780033270,30
1780033275,30
1780033280,30
1780033285,30
1780033290,28
1780033295,30
1780033300,30
1780033305,29
1780033310,27
1780033315,30
1780033320,30
